id,area_name,Households,00_10K,10_15K,15_25K,25_35K,35_50K,50_75K,75_100K,100_150K,150_200K,200K_UP,with_internet,dialup_internet,any_broadband,with_cellular_broadband,only_cellular_broadband,cable_broadband,satellite_broadband,no_internet,Population,Hispanic_Latino,Black,White,Asian
1400000US48113000100,"Census Tract 1, Dallas County, Texas",1849,0.051,0.01,0.027999999999999997,0.049,0.059000000000000004,0.161,0.09699999999999999,0.14400000000000002,0.07200000000000001,0.33,0.973,0.0,0.973,0.802,0.055,0.9129999999999999,0.040999999999999995,0.027000000000000003,3937,0.106,0.075,0.755,0.034
1400000US48113000201,"Census Tract 2.01, Dallas County, Texas",1407,0.032,0.0,0.036000000000000004,0.026000000000000002,0.068,0.069,0.109,0.191,0.083,0.387,0.9109999999999999,0.0,0.9109999999999999,0.7090000000000001,0.054000000000000006,0.831,0.05,0.08900000000000001,2987,0.11599999999999999,0.0,0.8590000000000001,0.005
1400000US48113000202,"Census Tract 2.02, Dallas County, Texas",1971,0.021,0.040999999999999995,0.075,0.07,0.083,0.172,0.055999999999999994,0.17,0.13,0.182,0.9229999999999999,0.0,0.9229999999999999,0.741,0.06,0.8320000000000001,0.035,0.077,3943,0.209,0.017,0.723,0.027999999999999997
1400000US48113000300,"Census Tract 3, Dallas County, Texas",2022,0.047,0.052000000000000005,0.018000000000000002,0.017,0.11599999999999999,0.121,0.10800000000000001,0.16899999999999998,0.053,0.297,0.961,0.0,0.961,0.8079999999999999,0.063,0.852,0.083,0.039,4231,0.11599999999999999,0.022000000000000002,0.782,0.048
1400000US48113000401,"Census Tract 4.01, Dallas County, Texas",1893,0.068,0.043,0.11599999999999999,0.125,0.08199999999999999,0.287,0.11900000000000001,0.105,0.048,0.006,0.7929999999999999,0.0,0.7929999999999999,0.6409999999999999,0.145,0.612,0.053,0.207,5543,0.414,0.134,0.37200000000000005,0.05
1400000US48113000404,"Census Tract 4.04, Dallas County, Texas",2259,0.037000000000000005,0.015,0.068,0.11599999999999999,0.17300000000000001,0.22399999999999998,0.135,0.139,0.073,0.02,0.87,0.0,0.87,0.64,0.085,0.768,0.035,0.13,3639,0.32799999999999996,0.053,0.517,0.086
1400000US48113000405,"Census Tract 4.05, Dallas County, Texas",1120,0.133,0.10400000000000001,0.13699999999999998,0.027000000000000003,0.179,0.17,0.132,0.09,0.023,0.004,0.6459999999999999,0.0,0.6459999999999999,0.5660000000000001,0.155,0.491,0.004,0.354,2038,0.46299999999999997,0.126,0.284,0.099
1400000US48113000406,"Census Tract 4.06, Dallas County, Texas",3199,0.13,0.032,0.075,0.085,0.153,0.204,0.165,0.106,0.033,0.016,0.807,0.0,0.807,0.589,0.092,0.716,0.038,0.193,8757,0.536,0.038,0.358,0.057999999999999996
1400000US48113000500,"Census Tract 5, Dallas County, Texas",3891,0.035,0.035,0.023,0.035,0.14,0.261,0.151,0.114,0.10300000000000001,0.10300000000000001,0.9390000000000001,0.0,0.9390000000000001,0.754,0.042,0.84,0.067,0.061,5708,0.17600000000000002,0.08,0.639,0.08
1400000US48113000601,"Census Tract 6.01, Dallas County, Texas",3334,0.111,0.049,0.068,0.163,0.1,0.198,0.134,0.091,0.032,0.054000000000000006,0.7979999999999999,0.0,0.7979999999999999,0.589,0.17300000000000001,0.626,0.016,0.20199999999999999,6146,0.38799999999999996,0.16899999999999998,0.391,0.033
